start_s,text
238,hello. i am just a annoying overseas fan :beaming_face_with_smiling_eyes:
243,オタマトーン良かったね
250,歌みた早く
253,夜警
256,大人だってお金は使いたくないんや…
257,終盤トモシカが井上涼になってた
258,オタマトーン極めたいなぁ
262,後半夜警要素ないんですが
267,夜警とは
267,こんばんは〜
272,攻めてたからねｗ
273,w
275,オタマトーンがあって助かった
275,こんばんわ～
279,夜警か（実は昼間らしい）
279,Eテレで流せないよ！
285,アリだな
287,だめです
289,よくはないｗ
290,寝ろ
290,夜警ＤＥビンゴのＦＡありましたね
291,初のオールナイトになるや否や
292,今後も続けて欲しい企画よ
293,だめです
293,寝ましょ
295,ハードですね
296,ケガのもとだからやめて
297,5時間後かぁ
299,3時間でも寝たほうが
301,寝てください
303,倒れるよ
304,無理しないで
305,そうよ、体にいくない
305,通しだもんね
306,寝る流れか？
306,通しのリハですし
307,今日は1時間で終了ですね
308,寝ないと体力尽きるよｗ
308,今から寝てください
311,ハードだね。
311,永眠してしまう
311,養命酒飲んでれば大丈夫でしょ
311,寝れ！
312,ありけり
313,ありけり
313,3時間寝れば死なないとは言いますし
315,体調悪くなるぞｗ
316,倒れちゃいけないからちょっとでも寝てな
316,そうね
318,終われますか？
322,絶対１時間で終わらないのに・・
322,大変そう
323,倒れるのはあかんよ？w
323,ちゃんと終われるかしら
324,6時...?寝てください...
325,それでいきましょう
326,いこうかな？
326,両方できるかな？
327,おわるかな？
327,コーナー絞ろうか
327,そんな日に、夢小説配信８ｗ
327,目標できたね
328,脱線してる場合じゃねえ！
328,無理しないで・・・
328,今からでもラジオ延期してもいいのでは？w
329,がんばって起きてねｗｗｗ
330,体力使うでしょうししっかり寝ましょう
330,今日は1時間で終わってもやむをえない…
331,こんばんはー
331,１時間で終われたことがあっただろうか
332,4時間ならわんちゃん
333,マジで生命に関わるで
334,脱線すると寝坊する配信
336,その方向で行こう
336,ちょっとｺﾜｲけどw
339,タイムキーパー雇おう
341,寝る配信にする？
342,ヨシ！さっそくコーナー行こう!
342,1時間終わりがよきで候
343,あるある
343,わかる
343,あるあるｗ
344,それな
344,若者のノリなんですよ
344,あるある
345,あるｗ
345,めっちゃわかる
345,わかる
345,あるある
347,アカン
347,わかるー
348,わかりみがふかい
